ID_No,Location,Type,Serial_No,Description,Cal_Date,Cal_Due_Date,Owner,Comment
QCP-9,QC Lab,Pipette,C025588054,Air-Displacement Micropipette (20-300 µL),2023-05-26,2024-05-26,nan,nan
QCpH-1,QC Lab,pH Meter,021557,pH Meter,nan,nan,nan,nan
QCpH-2,QC Lab,pH Meter,X22249,pH Meter,nan,nan,nan,nan
QC-SSJ-01,RM 114,Induction Sealer,C23129-01,Super Seal Jr. ,2024-01-23,2024-01-23,AK,nan
QC-SSJ-02,RM 114,Induction Sealer,181818-1-1,Super Seal Jr. ,2024-02-02,2025-02-02,nan,nan
QC-THT-1,RM 119,Tablet Hardness Tester,4021,Tablet Hardness Tester,nan,nan,nan,nan
QCTOC-1,QC Lab,TOC,19074528,Sievers TOC Analyzer,2024-01-31,2025-01-31,Carl P.,nan
QCUHPLC-1,QC Lab,UPLC,DEAA310659,UPLC Agilent 1290 Infinity LC,2022-03-01,2023-03-01,nan,nan
QCUHPLC-1,QC Lab,UPLC,DEBAC11652,UPLC Agilent 1290 Infinity LC,2022-03-01,2023-03-01,nan,nan
QCUHPLC-1,QC Lab,UPLC,DEBAP07209,UPLC Agilent 1290 Infinity LC,2022-03-01,2023-03-01,nan,nan
QCUHPLC-1,QC Lab,UPLC,DEBAK24889,UPLC Agilent 1290 Infinity LC,2022-03-01,2023-03-01,nan,nan
QCUHPLC-1,QC Lab,UPLC,DEBAA05846,UPLC Agilent 1290 Infinity LC,2022-03-01,2023-03-01,nan,nan
QCUV-1,QC Lab,UV-VIS,4320475,UV-Vis,2023-10-24,2024-10-24,Neha S.,nan
QCV-1,QC Lab,Viscometer,8491615,Brookfield LVDV-III+  viscometer/ Rheometer,nan,nan,nan,nan
QCZ-1,QC Lab,Zetasizer,MAL500732,Zetsizer Nano Series,nan,nan,nan,nan
STB-01,Room 111,Chamber,162172-3283,Stability Chamber 40C/75% ,2023-10-18,2024-10-31,nan,nan
STB-02,Room 111,Chamber,305485-2138,Stability Chamber 25C/65% ,2023-10-18,2024-10-31,nan,nan
STB-03,Room 111,Chamber,314904-2622,Stability Chamber 30C/70% ,2023-04-25,2024-04-30,nan,nan
STB-04,Room 111,Chamber,BSR320020006,Stability Chamber 2-8C,2023-10-18,2024-10-31,nan,nan
STB-05,Room 115,Chamber,BSR318040019,Stability Chamber 2-8C,2023-12-29,2024-12-31,nan,nan
STB-06,Room 115,Chamber,42407002,Incubator 30-35C,2023-10-18,2024-10-31,nan,nan
STB-07,Room 115,Chamber,42656268,Incubator 57.5C,2023-10-18,2024-10-31,nan,nan
STB-08,Room 115,Chamber,VWR-7022098-1710,Stability Chamber -20C,2023-10-18,2024-10-31,nan,nan
STB-09,Room 115,Chamber,WB51202089,Stability Chamber 20-25C,2023-12-04,2024-12-31,nan,nan
STB-10,Room 115,Chamber,LRP-WB90143508-1903,Stability Chamber -20C,2023-10-18,2024-10-31,Andy,nan
STB-11,Room 115,Chamber,23070267500003,Stability Chamber 25C,nan,nan,Andy,nan
STB-12,Room 115,Chamber,23070267500007,Stability Chamber 40C/75% ,nan,nan,Andy,nan
STB-13,Room 115,Chamber,23070267500006,Stability Chamber 30C/65% ,2024-02-28,2024-11-30,Andy,nan
STB-14,Room 115,Chamber,23070267500004,Stability Chamber 25C/60% ,nan,nan,Andy,nan
STB-15,Room 115,Chamber,23070267500005,Stability Chamber 40C/25%,nan,nan,Andy,nan
STB-16,Room 115,Chamber,23070267500002,Stability Chamber 25C/40%,nan,nan,Andy,nan
System #19,RM 157,HPLC,JP73011954,Agilent/Hewlett Packard,2022-06-14,2023-06-15,Neha S.,nan
System #19,RM 157,HPLC,DE11112925,Agilent/Hewlett Packard,2022-06-14,2023-06-15,Neha S.,nan
System #19,RM 157,HPLC,DE91603092,Agilent/Hewlett Packard,2022-06-14,2023-06-15,Neha S.,nan
System #19,RM 157,HPLC,DE13204868,Agilent/Hewlett Packard,2022-06-14,2023-06-15,Neha S.,nan
System #19,RM 157,HPLC,DE82207435,Agilent/Hewlett Packard,2022-06-14,2023-06-15,Neha S.,nan
System #19,RM 157,HPLC,CP-0167,Agilent/Hewlett Packard,2022-06-14,2023-06-15,Neha S.,nan
System #19,RM 157,HPLC,DE82204548,Agilent/Hewlett Packard,2022-06-14,2023-06-15,Neha S.,nan
System #19,RM 157,HPLC,CN14090030,Agilent/Hewlett Packard,2022-06-14,2023-06-15,Neha S.,nan
System #27,QC Lab,HPLC,DE33224208,HPLC Agilent 1100 Series,2021-06-04,2022-06-04,Neha S.,nan
System #27,QC Lab,HPLC,DE11107313,HPLC Agilent 1100 Series,2021-06-04,2022-06-04,Neha S.,nan
System #27,QC Lab,HPLC,DE11122112,HPLC Agilent 1100 Series,2021-06-04,2022-06-04,Neha S.,nan
System #27,QC Lab,HPLC,DE91607038,HPLC Agilent 1100 Series,2021-06-04,2022-06-04,Neha S.,nan
System #27,QC Lab,HPLC,DE33224208,HPLC Agilent 1100 Series,2022-06-28,2022-06-28,Neha S.,nan
System #27,QC Lab,HPLC,DE11107313,HPLC Agilent 1100 Series,2022-06-28,2022-06-28,Neha S.,nan
System #27,QC Lab,HPLC,DE11122112,HPLC Agilent 1100 Series,2022-06-28,2022-06-28,Neha S.,nan
System #27,QC Lab,HPLC,DE91607038,HPLC Agilent 1100 Series,2022-06-28,2022-06-28,Neha S.,nan
TC-1,RM 138,RPM,Z341019,Tachometer,2023-10-20,2024-10-20,David R.,nan
TC-2,RM 138,RPM,201001929,Tachometer,2023-10-20,2024-10-20,David R.,nan
Temp-1,RM 138,Thermometer,210429737,Thermocouple Meter,2021-08-27,2022-08-27,David R.,nan
Temp-2,RM 138,Thermometer,210504260,Thermocouple Meter,nan,2023-06-15,David R.,nan
Temp-3,RM 114,Thermometer,221220319,Tpe J/K/T Thermocouple Meter,2023-07-25,2024-07-25,aK,nan
Temp-4,RM 114,Thermometer,230289776,Type K Digital Thermometer,2023-04-25,2025-04-25,nan,nan
TME-1,RM 138,Chronometer,210517159,Stopwatch,nan,2023-06-18,AK,nan
TME-2,RM 114,Timer,221205140,Four Channel Alarm Timer,2022-02-01,2024-02-01,AK,nan
VAC-1,RM 138,Gauge,0258362,Digital Vacuum Gauge,nan,2022-10-11,David R.,nan
WBL-1,RM 138,Wobble,M2210201555,Wobble Meter,2023-10-24,2024-10-24,David R.,nan
nan,RM145,Particle Counter (Control# 21-76293),144048,100 LPM Particle Counter,2021-11-12,2022-11-12,AK,nan
nan,RM 138,Gauge,4130802584,Autoclave Gauge,2022-02-01,2023-02-28,David R.,nan
nan,RM 145,"Cleanroom Softwall, ValuLine",6600-66-VL-0806P1669363,ISO 7/ISO 8 Transition Area,2022-02-10,2023-02-28,nan,nan
nan,RM 145,Cleanroom Softwall,18395-24375,ISO 7 Formulation & Fill Area,2022-07-29,2023-07-29,nan,nan
nan,RM145,Particle Counter (Control# 22-81831),144053,75 LPM Particle Counter,2022-11-15,2023-11-15,AK,nan
nan,RM145,Air Sampler,17-D-11859,100 LPM Air Sampler,2023-07-13,2024-07-13,aK,nan
nan,RM145,Air Sampler,03-CM-02243,100 LPM Air Sampler,2023-10-23,2024-10-23,AK,nan
nan,RM145,Air Sampler,02-C-02036,100 LPM Air Sampler,2023-11-15,2024-11-15,AK,nan
nan,RM 138,Voltmeter,0621U-A2,Voltmeter,nan,nan,David R.,nan
nan,QC Lab,LAF,070570816,Laminar Air Flow Cabinet,nan,nan,nan,nan
