ID #,Location,Type,Serial #,Description,Cal. Date,Cal. due Date,Comment,Owner
DL-12,RM 111,Hygrometer,221624480,TraceableLive WIFI Hygrometer (STB-2),2023-06-30,2024-06-30,,
DL-13,RM 115,Hygrometer,230541092,TraceableLive WIFI Hygrometer (STB-),2023-08-11,2025-08-11,,
DL-14,,,,,,,,
DL-16,RM 111,Hygrometer,230725485,TraceableLive WIFI Hygrometer (STB-4),2023-10-30,2025-10-30,,
DL-17,RM 114,Hygrometer,230456693,TraceableLive WIFI Hygrometer ,2023-07-10,2025-07-10,,
DL-18,RM 114,Hygrometer,230541099,TraceableLive WIFI Hygrometer ,2023-08-11,2025-08-11,,
DL-19,RM 114,Hygrometer,230541086,TraceableLive WIFI Hygrometer ,2023-08-11,2025-08-11,,
DL-20,RM 115,Hygrometer,230456691,TraceableLive WIFI Hygrometer (STB-12),2023-07-10,2025-07-10,,
FLW-1,RM 138,Flowmeter,48600,Flow Meter,2021-09-30,2022-09-30,,David R.
FRC-1,RM 155,Force Gauge,1050113204585,Force Meter (50N),,2022-04-30,,David R.
FRC-2,RM 138,Force Gauge,1500150614275,Force Meter (500N),,2016-06-13,,David R.
HYGRO-1,RM 138,Hygrometer,98766-54,Humidity / Temperature Pen,2023-11-16,2024-11-16,,David R.
MANO-1,RM 114,Manometer,210578983,Manometer,2022-06-08,2023-07-08,,David R.
MFG-10,QC Lab,Gauge,17081611003,Digital Pressure Gauge,2022-09-01,2023-09-30,,David R.
MFG-100G,RM138,Weight,B553919855,100g Weight,2022-05-23,2023-12-23,,David R.
MFG-100G-01,RM138,Weight,1000225124,100g Weight,2023-11-15,2024-11-15,,David R.
MFG-100G-02,RM 114,Weight,30402661,100g Weight,2023-12-28,2024-12-28,,
MFG-100G-03,RM 114,Weight,1000242369,100g Weight,2024-02-01,2025-02-01,,
MFG-100MG,RM 138,Weight,8ZCE,100 mg ,2022-02-16,2023-02-16,,David R.
MFG-10G,RM 138,Weight,B553919854,10 gram,2022-02-16,2023-02-16,,David R.
MFG-1G-01,RM 138,Weight,8ZCF,1 gram Weight,2023-11-16,2024-11-16,,David R.
MFG-1G-02,RM 139,Weight,1000242408,1 gram Weight,2024-02-01,2025-02-01,,AK
MFG-2,RM 138,Gauge,2003100612,Pressure Gauge (300psi),2023-03-24,2024-03-31,,David R.
MFG-2KG,RM114,Weight,2491,2 kg Weight,,,,Andy
MFG-3,RM 145,Balance,,,,,,
MFG-4,RM 119,Autoclave,2203267,Tuttnauer 3870 Autoclave,2023-02-21,2024-02-21,,Carl P.
MFG-5,RM 138,Gauge,200480414,Pressure Gauge (30psi),2023-03-24,2024-03-31,,David R.
MFG-5KG-01,RM 114,Weight,1000241593,5-Kg Weight Standard,2024-02-05,2025-02-05,,Carl P.
MFGBFS-1,RM155,Floor Scale,AE63603602,Floor Scale with load cell,2023-08-02,2024-08-31,,Andy K.
MFGBSC-1,RM 145,Biological Safey Cabinet,70657ADZ,Class II Type A/B3,2023-07-18,2024-07-31,,
MFGCM-1,MFG-2,Comil,U3-0020,Quandro Comil U3 Underdriven,,,,Joshua D.
MFGCP-1,MFG RM 1; RM 146,Capsule Filler,M/1242,Vortex Capsule Filler,,,,Joshua D.
MFGCP-2,MFG RM 1; RM 147,Capsule Filler,M/242 S/2,Size 2 Tray,,,,Joshua D.
MFGCP-3,MFG RM 1; RM 148,Capsule Filler,M/242 S/00,Size 00 Tray,,,,Joshua D.
MFGEDM-1,MFG-1,Eye Drop Machine,SDM3407,"Eye Drop Filling, Stoppering and Capping Machine ",,,,Andy K.
MFGpH-1,MFG-1,pH Meter,3027967,pH Meter,,,,Jeremy J.
MFGSCF-1,MFG-2,Capsule Filling Machine,22120073,CapsulCN Semi-Automatic Capsule filler,,,,Damian M
MFG-TLB-1,QC Lab,Balance,M66081,Top Loading Balance,2024-01-31,2025-01-31,,AK
MFG-TLB-2,QC Lab,Balance,2113035375,Top Loading Balance,,,,
MFGTP-1,MFG-2,Tablet Press,K0000076,Single Punch Tablet Punch,,,,Joshua D.
MFGVB-1,RM 146,V-Blender,01314,V-Blender,,,,Joshua D.
MFGVB-1,RM 146,V-Blender,1742 S10 2Q,2-Quart V-Blender Chamber,,,,Joshua D.
MFGVB-1,RM 146,V-Blender,1743 S11 4Q,4-Quart V-Blender Chamber,,,,Joshua D.
MFGVB-1,RM 146,V-Blender,1744 S12 8Q,8-Quart V-Blender Chamber,,,,Joshua D.
MFGVB-2,RM 119,V-blender,22120073,V-blender,,,,
MFGVB-3,RM 119,V-blender,071985868,MAXIBLEND V-blender,,,,
MFGWS-1,QC Lab,Weight Sorter Tablet/Capsule ,PS 596,SADE SP,2023-03-21,2024-03-31,,Andy K.
Photo-1,RM 138,Light Meter,200901686,Data Logging Light Meter,2023-06-08,2024-06-08,,David R.
QC-100MG-1,RM 138,Weight,B553919852,100 mg ,2022-02-16,2022-04-30,,David R.
QC-100MG-2,RM 138,Weight,B553919852,100mg Weight,2023-06-23,2024-06-23,,Neha S.
QC-100MG-3,RM 114,Weight,1000240080,100mg Weight,2024-01-05,2025-01-05,,
QC-10MG,QC Lab,Weight,B553919851,10mg Weight,2023-06-14,2024-06-30,,Andy K.
QC-10MG-2,QC Lab,Weight,1000234550,10mg Weight,2023-11-15,2024-11-15,,Andy K.
QC-10MG-3,QC Lab,Weight,1000229556,10mg Weight,2023-12-19,2024-12-19,,Andy K.
QC25KG,QC Lab,Weight,8P9M,25Kg,,2022-06-01,,
QC-2MG,RM 138,Weight,B553919853,2 mg,2022-02-16,2023-02-16,,David R.
QC5KG-1,RM 114,Weight,9HN1,5Kg Weight,2023-11-15,2024-11-15,,David R.
QC5KG-2,RM 114,Weight,8VWN,5Kg Weight,2023-11-15,2024-11-15,,
QCA-1,QC Lab,Accusizer,9911707,Accusizer,,,,
QCA-1,QC Lab,Accusizer,9911912,Accusizer,,,,
QCAB-1,QC Lab,Balance,1121240974,Analytical Balance,2022-11-30,2023-11-30,,Neha S.
QCAB-2,QC Lab,Balance,L78888,Top Loading Balance,,,,
QCAB-3,QC Lab,Balance,1119251449,Analytical Balance,,,,
QCAB-4,QC Lab,Balance,1121473026,Analytical Balance,2023-12-29,2024-12-31,,AK
QCAB-5,QC Lab,Balance,1116511042,Analytical Balance,2024-02-12,2025-02-12,,
QC-THT-1,RM 119,Tablet Hardness Tester,4021,Tablet Hardness Tester,,,,
QC-FT-1,RM 119,Friability Tester,53715,Friability Tester,,,,
QCBSC-1,QC Lab,Biological Safey Cabinet,70370816,Purifier Class II ,2022-03-22,2023-03-22,,
QCCCI-1,QC Lab,CCIT,,Container Closure Integrity Test Instrument,,,,
QCCCI-1,QC Lab,CCIT,ST/SR 081600007975,Container Closure Integrity Test Instrument,,,,
QC-CCS-1,QC Lab,Scale,0211/11311075,Counting and Checkweighing Scale,2024-01-08,2025-01-31,,
QCDS-1,QC Lab,Dissolution,17-495-0197,Dissolution System,2021-09-23,2022-09-23,,
QCDWS-1,Glassware,DI Water,1090001208381,DI Water System,,,,
QCED-1,QC Lab,Endotoxin,21050089,Sievers Eclipse Reader,2021-06-30,2023-06-28,,Carl P.
QC-FAO-1,QC Lab,Oven,06030318,Forced Air Oven (PN: 9071306),2024-01-08,2025-01-31,,
QCFTIR-1,QC Lab,FTIR,NY20202019,Agilent FTIR,2022-05-05,2023-05-05,,
QCGC-1,QC Lab,GC,US10530041,Gas Chromatograph-FID,2021-01-08,2022-01-08,,
QCGC-1,QC Lab,GC,IT00310229,Gas Chromatograph-FID,2021-01-08,2022-01-08,,
QCGC-1,QC Lab,GC,US93809220,Gas Chromatograph-FID,2021-01-08,2022-01-08,,
QCGC-1,QC Lab,GC,CN21020348,Gas Chromatograph-FID,2021-01-08,2022-01-08,,
QCH-1,QC Lab,HIAC,GL0505,HIAC,,,,
QCHPLC-1,QC Lab,HPLC,JP13204368,HPLC Agilent 1100 Series,2021-12-21,2022-12-21,,Neha S.
QCHPLC-1,QC Lab,HPLC,DE11114999,HPLC Agilent 1100 Series,2021-12-21,2022-12-21,,Neha S.
QCHPLC-1,QC Lab,HPLC,DE33213018,HPLC Agilent 1100 Series,2021-12-21,2022-12-21,,Neha S.
QCHPLC-1,QC Lab,HPLC,DE13208463,HPLC Agilent 1100 Series,2021-12-21,2022-12-21,,Neha S.
QCHPLC-1,QC Lab,HPLC,US72102230,HPLC Agilent 1100 Series,2021-12-21,2022-12-21,,Neha S.
QCHPLC-1,QC Lab,HPLC,DE11112806,HPLC Agilent 1100 Series,2021-12-21,2022-12-21,,Neha S.
QCHPLC-2,QC Lab,HPLC,JP63703902,HPLC Agilent 1200 Series,2022-04-18,2023-04-18,,Neha S.
QCHPLC-2,QC Lab,HPLC,DE60555239,HPLC Agilent 1200 Series,2022-04-18,2023-04-18,,Neha S.
QCHPLC-2,QC Lab,HPLC,DEAAC23550,HPLC Agilent 1200 Series,2022-04-18,2023-04-18,,Neha S.
QCHPLC-2,QC Lab,HPLC,DE60562472,HPLC Agilent 1200 Series,2022-04-18,2023-04-18,,Neha S.
QCHPLC-2,QC Lab,HPLC,DE60557001,HPLC Agilent 1200 Series,2022-04-18,2023-04-18,,Neha S.
QCHPLC-2,QC Lab,HPLC,DE60555208,HPLC Agilent 1200 Series,2022-04-18,2023-04-18,,Neha S.
QCHPLC-2,QC Lab,HPLC,LN00000249,HPLC Agilent 1200 Series,2022-04-18,2023-04-18,,Neha S.
QCHPLC-2,QC Lab,HPLC,CO-0173,HPLC Agilent 1200 Series,2022-04-18,2023-04-18,,Neha S.
QCHPLC-3,QC Lab,HPLC,JP05030345,HPLC Agilent 1100 Series,2022-08-12,2023-08-12,,Neha S.
QCHPLC-3,QC Lab,HPLC,DE23922786,HPLC Agilent 1100 Series,2022-08-12,2023-08-12,,Neha S.
QCHPLC-3,QC Lab,HPLC,DE91604477,HPLC Agilent 1100 Series,2022-08-12,2023-08-12,,Neha S.
QCHPLC-3,QC Lab,HPLC,DE13209894,HPLC Agilent 1100 Series,2022-08-12,2023-08-12,,Neha S.
QCHPLC-3,QC Lab,HPLC,DE91610488,HPLC Agilent 1100 Series,2022-08-12,2023-08-12,,Neha S.
QCHPLC-3,QC Lab,HPLC,DE23917598,HPLC Agilent 1100 Series,2022-08-12,2023-08-12,,Neha S.
QCHPLC-5,QC Lab,HPLC,JP62354290,HPLC Agilent 1200 Series,2024-01-24,2025-01-24,,Neha S.
QCHPLC-5,QC Lab,HPLC,DE60556928,HPLC Agilent 1200 Series,2024-01-24,2025-01-24,,
QCHPLC-5,QC Lab,HPLC,DE60557337,HPLC Agilent 1200 Series,2024-01-24,2025-01-24,,
QCHPLC-5,QC Lab,HPLC,DE60559416,HPLC Agilent 1200 Series,2024-01-24,2025-01-24,,
QCHPLC-5,QC Lab,HPLC,DE60557494,HPLC Agilent 1200 Series,2024-01-24,2025-01-24,,
QCHPLC-5,QC Lab,HPLC,DE60555850,HPLC Agilent 1200 Series,2024-01-24,2025-01-24,,
QCKF-1,QC Lab,Karl Fisher,5126206996,Karl Fischer Titrator,,,,
QCKF-1,QC Lab,Karl Fisher,1126250582,Karl Fischer Titrator,,,,
QCKF-1,QC Lab,Karl Fisher,5127433970,Karl Fischer Titrator,,,,
QCKF-2,QC Lab,Moisture Content,C244198124,Karl Fischer Titrator,2023-02-07,2023-02-08,,Neha S.
QCM-1,QC Lab,Microscope,115906,Polarizing Microscope,2022-10-26,2023-10-26,,Viet
QCMM-1,QC Lab,Mastersizer,MAL1042059,Malvern Mastersizer,,,,
QCO-1,QC Lab,Osmometer,08050591C,Osmometer,,,,
QCP-1,QC Lab,Pipette,N14192C,Air-Displacement Micropipette (1-100 µL),2023-06-21,2024-06-21,,
QCP-2,QC Lab,Pipette,BH63494,Air-Displacement Micropipette (1-100 µL),2023-06-21,2024-06-21,,
QCP-3,QC Lab,Pipette,G12113B,Air-Displacement Micropipette (1-200 µL),2023-05-26,2024-05-26,,
QCP-4,QC Lab,Pipette,BA57062,Air-Displacement Micropipette (1-200 µL),2023-06-21,2024-06-21,,
QCP-5,QC Lab,Pipette,G16909C,Air-Displacement Micropipette (1-1000 µL),2023-12-07,2025-05-31,,
QCP-6,QC Lab,Pipette,BJ55057,Air-Displacement Micropipette (1-1000 µL),2023-06-21,2024-05-26,,
QCP-7,QC Lab,Pipette,C015273607,Air-Displacement Micropipette (20-200 µL),2023-05-26,2024-05-26,,
QCP-8,QC Lab,Pipette,C009053078,Air-Displacement Micropipette (100-1000 µL),2023-05-26,2024-05-26,,
QCP-9,QC Lab,Pipette,C025588054,Air-Displacement Micropipette (20-300 µL),2023-05-26,2024-05-26,,
QCpH-1,QC Lab,pH Meter,021557,pH Meter,,,,
QCpH-2,QC Lab,pH Meter,X22249,pH Meter,,,,
QC-SSJ-02,RM 114,Induction Sealer,181818-1-1,Super Seal Jr. ,2024-02-02,2025-02-02,,
QC-SSJ-01,RM 114,Induction Sealer,C23129-01,Super Seal Jr. ,2024-01-23,2024-01-23,,AK
QCTOC-1,QC Lab,TOC,19074528,Sievers TOC Analyzer,2024-01-31,2025-01-31,,Carl P.
QC-ICS-01,QC Lab,Induction Sealer,,,,,,
QCUHPLC-1,QC Lab,UPLC,DEAA310659,UPLC Agilent 1290 Infinity LC,2022-03-01,2023-03-01,,
QCUHPLC-1,QC Lab,UPLC,DEBAC11652,UPLC Agilent 1290 Infinity LC,2022-03-01,2023-03-01,,
QCUHPLC-1,QC Lab,UPLC,DEBAP07209,UPLC Agilent 1290 Infinity LC,2022-03-01,2023-03-01,,
QCUHPLC-1,QC Lab,UPLC,DEBAK24889,UPLC Agilent 1290 Infinity LC,2022-03-01,2023-03-01,,
QCUHPLC-1,QC Lab,UPLC,DEBAA05846,UPLC Agilent 1290 Infinity LC,2022-03-01,2023-03-01,,
QCUV-1,QC Lab,UV-VIS,4320475,UV-Vis,2023-10-24,2024-10-24,,Neha S.
QCV-1,QC Lab,Viscometer,8491615,Brookfield LVDV-III+  viscometer/ Rheometer,,,,
QCZ-1,QC Lab,Zetasizer,MAL500732,Zetsizer Nano Series,,,,
STB-01,Room 111,Chamber,162172-3283,Stability Chamber 40C/75% ,2023-10-18,2024-10-31,,
STB-02,Room 111,Chamber,305485-2138,Stability Chamber 25C/65% ,2023-10-18,2024-10-31,,
STB-03,Room 111,Chamber,314904-2622,Stability Chamber 30C/70% ,2023-04-25,2024-04-30,,
STB-04,Room 111,Chamber,BSR320020006,Stability Chamber 2-8C,2023-10-18,2024-10-31,,
STB-05,Room 115,Chamber,BSR318040019,Stability Chamber 2-8C,2023-12-29,2024-12-31,,
STB-06,Room 115,Chamber,42407002,Incubator 30-35C,2023-10-18,2024-10-31,,
STB-07,Room 115,Chamber,42656268,Incubator 57.5C,2023-10-18,2024-10-31,,
STB-08,Room 115,Chamber,VWR-7022098-1710,Stability Chamber -20C,2023-10-18,2024-10-31,,
STB-09,Room 115,Chamber,WB51202089,Stability Chamber 20-25C,2023-12-04,2024-12-31,,
STB-10,Room 115,Chamber,LRP-WB90143508-1903,Stability Chamber -20C,2023-10-18,2024-10-31,,Andy
STB-11,Room 115,Chamber,23070267500003,Stability Chamber 25C,,,,Andy
STB-12,Room 115,Chamber,23070267500007,Stability Chamber 40C/75% ,,,,Andy
STB-13,Room 115,Chamber,23070267500006,Stability Chamber 30C/65% ,,,,Andy
STB-14,Room 115,Chamber,23070267500004,Stability Chamber 25C/60% ,,,,Andy
STB-15,Room 115,Chamber,23070267500005,Stability Chamber 40C/25%,,,,Andy
STB-16,Room 115,Chamber,23070267500002,Stability Chamber 25C/40%,,,,Andy
System #19,RM 157,HPLC,JP73011954,Agilent/Hewlett Packard,2022-06-14,2023-06-15,,Neha S.
System #19,RM 157,HPLC,DE11112925,Agilent/Hewlett Packard,2022-06-14,2023-06-15,,Neha S.
System #19,RM 157,HPLC,DE91603092,Agilent/Hewlett Packard,2022-06-14,2023-06-15,,Neha S.
System #19,RM 157,HPLC,DE13204868,Agilent/Hewlett Packard,2022-06-14,2023-06-15,,Neha S.
System #19,RM 157,HPLC,DE82207435,Agilent/Hewlett Packard,2022-06-14,2023-06-15,,Neha S.
System #19,RM 157,HPLC,CP-0167,Agilent/Hewlett Packard,2022-06-14,2023-06-15,,Neha S.
System #19,RM 157,HPLC,DE82204548,Agilent/Hewlett Packard,2022-06-14,2023-06-15,,Neha S.
System #19,RM 157,HPLC,CN14090030,Agilent/Hewlett Packard,2022-06-14,2023-06-15,,Neha S.
System #27,QC Lab,HPLC,DE33224208,HPLC Agilent 1100 Series,2021-06-04,2022-06-04,,Neha S.
System #27,QC Lab,HPLC,DE11107313,HPLC Agilent 1100 Series,2021-06-04,2022-06-04,,Neha S.
System #27,QC Lab,HPLC,DE11122112,HPLC Agilent 1100 Series,2021-06-04,2022-06-04,,Neha S.
System #27,QC Lab,HPLC,DE91607038,HPLC Agilent 1100 Series,2021-06-04,2022-06-04,,Neha S.
System #27,QC Lab,HPLC,DE33224208,HPLC Agilent 1100 Series,2022-06-28,2022-06-28,,Neha S.
System #27,QC Lab,HPLC,DE11107313,HPLC Agilent 1100 Series,2022-06-28,2022-06-28,,Neha S.
System #27,QC Lab,HPLC,DE11122112,HPLC Agilent 1100 Series,2022-06-28,2022-06-28,,Neha S.
System #27,QC Lab,HPLC,DE91607038,HPLC Agilent 1100 Series,2022-06-28,2022-06-28,,Neha S.
TC-1,RM 138,RPM,Z341019,Tachometer,2023-10-20,2024-10-20,,David R.
TC-2,RM 138,RPM,201001929,Tachometer,2023-10-20,2024-10-20,,David R.
Temp-1,RM 138,Thermometer,210429737,Thermocouple Meter,2021-08-27,2022-08-27,,David R.
Temp-2,RM 138,Thermometer,210504260,Thermocouple Meter,,2023-06-15,,David R.
Temp-3,RM 114,Thermometer,221220319,Tpe J/K/T Thermocouple Meter,2023-07-25,2024-07-25,,aK
Temp-4,RM 114,Thermometer,230289776,Type K Digital Thermometer,2023-04-25,2025-04-25,,
TME-1,RM 138,Chronometer,210517159,Stopwatch,,2023-06-18,,AK
TME-2,RM 114,Timer,221205140,Four Channel Alarm Timer,2022-02-01,2024-02-01,,AK
VAC-1,RM 138,Gauge,0258362,Digital Vacuum Gauge,,2022-10-11,,David R.
WBL-1,RM 138,Wobble,M2210201555,Wobble Meter,2023-10-24,2024-10-24,,David R.
,RM145,Particle Counter (Control# 21-76293),144048,100 LPM Particle Counter,2021-11-12,2022-11-12,,AK
,RM 138,Gauge,4130802584,Autoclave Gauge,2022-02-01,2023-02-28,,David R.
,RM 145,"Cleanroom Softwall, ValuLine",6600-66-VL-0806P1669363,ISO 7/ISO 8 Transition Area,2022-02-10,2023-02-28,,
,RM 145,Cleanroom Softwall,18395-24375,ISO 7 Formulation & Fill Area,2022-07-29,2023-07-29,,
,RM145,Particle Counter (Control# 22-81831),144053,75 LPM Particle Counter,2022-11-15,2023-11-15,,AK
,RM145,Air Sampler,17-D-11859,100 LPM Air Sampler,2023-07-13,2024-07-13,,aK
,RM145,Air Sampler,03-CM-02243,100 LPM Air Sampler,2023-10-23,2024-10-23,,AK
,RM145,Air Sampler,02-C-02036,100 LPM Air Sampler,2023-11-15,2024-11-15,,AK
,RM 138,Voltmeter,0621U-A2,Voltmeter,,,,David R.
,QC Lab,LAF,070570816,Laminar Air Flow Cabinet,,,,
